Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:Open Home Page,1094,222,6,71179,3534.24,0.366%,.98462,27.53,0.12,28634.2
:Non Random,2875,0,0,0,0.00,0.000%,2.58755,0.00,0.00,.0
Thread Group:Open Predefined Date,1752,222,5,71102,3785.21,0.285%,1.57837,42.83,0.21,27789.1
Thread Group:Open Predefined Date Transaction,1560,288,5,71102,4008.28,0.385%,1.40402,72.69,0.90,53014.0
Thread Group:Search By Name,1723,274,5,71145,4173.59,0.348%,1.55372,27.91,0.20,18395.3
Thread Group:Search By Name -> Open Post,1552,272,5,71145,4024.03,0.387%,1.39824,41.86,0.70,30657.3
Thread Group:Non Random,2329,267,7,71250,3315.52,0.515%,2.09616,196.11,2.67,95800.9
Thread Group:Open Home Page Transaction,780,42,7,4487,185.81,0.513%,.75235,39.60,0.47,53902.1
Thread Group:Generate Date,720,1,1,8,0.82,0.000%,.69589,0.00,0.00,.0
Thread Group:Open Random Date,1440,229,5,71169,3730.29,0.278%,1.29978,24.75,0.17,19502.3
Thread Group:Open Contacts,628,126,5,71106,2834.84,0.159%,.56846,11.05,0.07,19908.1
Thread Group:Use First Post,1230,0,0,1,0.37,0.000%,1.19014,0.00,0.00,.0
Thread Group:Get First or Random Post,1230,433,7,70927,5247.03,0.569%,1.11554,31.30,0.14,28730.9
Thread Group:Open Post,1223,609,8,71180,6332.72,0.818%,1.11026,29.02,0.15,26769.4
Thread Group:Add Comment,966,29,5,4338,241.60,0.725%,.93933,2.19,1.77,2384.5
Thread Group:Use Random Post,446,0,0,1,0.37,0.000%,.43697,0.00,0.00,.0
Thread Group:Open Large Calendar,709,20,7,4286,162.33,0.000%,.69892,19.16,0.10,28075.8
Thread Group:Open Large Calendar -> Open Post,512,55,7,4329,324.79,0.195%,.50525,20.60,0.29,41749.3
TOTAL,22769,193,0,71250,3335.61,0.321%,20.49090,579.52,7.76,28960.5
