Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get Login Page,3638,56,2,70426,1469.91,0.055%,2.35552,10.27,1.31,4466.0
Log In,3636,48,2,102465,1712.30,0.028%,2.35546,2.70,2.89,1174.4
Get Admin Page,1819,32,2,10532,449.91,0.000%,1.28034,11.22,1.24,8975.5
Get Users,1815,31,3,10538,421.19,0.000%,1.27036,9.11,1.29,7346.8
Create User,898,199,3,112585,4049.20,2.116%,.58264,0.28,0.79,485.4
Open Predefined Date,2416,420,5,133713,6771.89,0.331%,1.56809,36.68,1.17,23954.1
Generate Date,2046,0,0,6,0.73,0.000%,1.45471,0.00,0.00,.0
Edit Post,1808,28,2,3819,145.30,0.277%,1.28538,0.25,3.16,201.3
Log out,1808,123,13,133707,3145.94,0.055%,1.17382,41.16,1.39,35909.7
Open Home Page,2133,86,9,133967,2899.63,0.047%,1.38485,47.88,0.23,35406.8
Non Random,1806,44,0,674,79.23,0.443%,1.17249,53.06,0.72,46338.8
Annoymous Flow,1806,142,9,133967,3151.03,0.498%,1.17247,93.58,0.92,81730.1
Debug Sampler,1805,0,0,21,0.68,0.000%,1.28442,6.85,0.00,5465.1
Open Contacts,219,13,6,263,20.31,0.000%,.15719,3.23,0.03,21023.3
Open Predefined Date Transaction,541,49,6,412,52.94,0.185%,.38634,21.66,0.27,57422.7
Search By Name,605,15,7,112,9.79,0.000%,.43207,8.29,0.08,19639.9
Search By Name -> Open Post,541,35,7,298,43.65,0.739%,.38636,12.62,0.23,33450.9
Delete User,921,50,2,11418,618.55,0.000%,.65351,0.12,1.22,182.0
Use First Post,375,0,0,1,0.34,0.000%,.26974,0.00,0.00,.0
Get First or Random Post,375,377,9,133970,6907.92,0.267%,.24603,8.45,0.04,35179.1
Open Post,374,47,13,179,25.17,1.070%,.26925,7.50,0.05,28534.6
Add Comment,302,32,9,179,21.37,1.325%,.21743,0.50,0.42,2365.8
Open Home Page Transaction,269,54,11,411,53.82,0.743%,.19381,11.76,0.13,62158.9
Open Random Date,476,13,6,70,8.69,0.000%,.34717,7.20,0.06,21237.5
Open Large Calendar,251,41,12,395,27.99,0.000%,.18290,5.22,0.03,29217.2
Open Large Calendar -> Open Post,178,60,12,395,50.88,0.562%,.13001,5.40,0.08,42516.8
Use Random Post,130,0,0,1,0.31,0.000%,.09689,0.00,0.00,.0
TOTAL,32991,85,0,133970,2565.76,0.215%,21.35949,393.63,17.01,18871.3
